x,edad,sexo,p_originario
1132,44,H,no
1133,53,M,no
1134,40,H,no
1135,13,M,no
1136,31,H,no
1137,54,M,no
1138,35,M,no
1139,4,M,no
1140,25,H,no
1141,18,M,no
1142,21,H,no
1143,0,M,no
1144,1,M,no
1145,17,M,no
1146,39,H,no
1147,31,M,no
1148,26,M,si
1149,5,H,no
1150,41,M,no
1151,53,H,no
1152,51,M,no
1153,62,H,no
1154,38,M,no
1155,45,H,no
1156,24,H,no
1157,33,M,no
1158,62,H,no
1159,52,M,no
1160,42,M,no
1161,60,H,no
1162,59,H,no
1163,42,H,no
1164,22,H,si
1165,34,M,no
1166,3,H,no
1167,80,H,no
1168,32,H,no
1169,62,M,no
1170,30,M,no
1171,56,H,no
1172,52,M,no
1173,67,M,no
1174,41,M,no
1175,16,H,no
1176,28,H,no
1177,17,M,si
1178,43,M,no
1179,49,H,no
1180,35,H,no
1181,14,H,no
1182,52,H,si
1183,37,M,no
1184,15,M,si
1185,42,M,no
1186,20,H,no
1187,66,M,no
1188,50,H,no
1189,13,M,si
1190,14,H,si
1191,57,M,no
1192,43,M,no
1193,33,H,no
1194,5,M,no
1195,72,M,si
1196,5,H,no
1197,7,H,no
1198,0,H,no
1199,51,H,no
1200,47,H,no
1201,6,M,no
1202,63,M,no
1203,81,H,no
1204,46,H,no
1205,17,H,no
1206,50,H,no
1207,15,M,no
1208,23,H,no
1209,61,M,no
1210,47,H,no
1211,6,H,si
1212,41,M,no
1213,26,M,si
1214,12,H,si
1215,27,M,si
1216,83,M,no
1217,30,H,no
1218,47,H,no
1219,54,H,no
1220,53,M,no
1221,78,M,si
1222,36,H,no
1223,27,H,no
1224,18,H,no
1225,5,H,no
1226,47,M,no
1227,82,H,si
1228,34,M,no
1229,38,H,si
1230,73,H,no
1231,26,M,si
1232,54,H,si
1233,27,H,no
1234,28,M,no
1235,11,M,no
1236,58,H,no
1237,19,M,no
1238,19,H,si
1239,6,M,no
1240,33,H,no
1241,83,M,no
1242,30,H,no
1243,55,M,no
1244,30,H,no
1245,3,H,no
1246,44,M,no
1247,61,M,no
1248,56,H,no
1249,60,H,no
1250,79,H,no
1251,49,M,no
1252,76,H,no
1253,8,H,no
1254,2,M,no
1255,35,M,no
1256,16,M,no
